# AI0: U_in (V)	# AI1: U_out (V)	
-4.0335	-7.63507
-4.23207	-7.63507
-4.4579	-7.63475
-4.64966	-7.63475
-4.84953	-7.63507
-5.09645	-7.6354
-5.26452	-7.63442
-5.33169	-7.6354
-5.36186	-7.6354
-5.38684	-7.6354
-5.40566	-7.63507
-5.41702	-7.6341
-5.4287	-7.63507
-5.40858	-7.63475
-5.38912	-7.63475
-5.36056	-7.63507
-5.18211	-7.63475
-4.9764	-7.63475
-4.74667	-7.63507
-4.44946	-7.63507
-4.13798	-7.63507
-3.84596	-7.6354
-3.625	-7.63507
-3.43681	-7.63475
-3.22363	-7.63442
-2.95627	-7.63507
-2.74407	-7.63442
-2.52928	-7.63507
-2.30475	-7.63442
-2.08703	-7.6354
-1.80994	-7.63475
-1.47801	-7.6354
-1.13278	-7.63507
-0.792745	-7.62242
-0.516626	-7.61236
-0.381324	-7.60198
-0.34466	-7.59841
-0.355367	-7.59938
-0.369644	-7.60133
-0.442648	-7.60717
-0.565945	-7.61528
-0.670422	-7.61982
-0.819351	-7.62307
-1.01922	-7.63475
-1.26581	-7.63475
-1.54777	-7.63475
-1.84628	-7.63507
-2.1357	-7.63507
-2.40955	-7.6354
-2.66523	-7.63475
-2.91669	-7.63507
-3.09579	-7.63475
-3.21877	-7.6354
-3.26581	-7.63475
-3.25154	-7.63507
-3.23888	-7.63442
-3.2165	-7.63475
-3.13278	-7.63475
-2.98029	-7.63475
-2.81773	-7.63507
-2.65842	-7.63507
-2.45173	-7.63507
-2.28723	-7.63475
-2.12986	-7.63442
-1.94881	-7.6354
-1.75932	-7.63507
-1.61137	-7.63507
-1.46666	-7.63442
-1.30572	-7.63475
-1.18794	-7.63475
-1.08217	-7.63507
-0.977365	-7.63442
-0.891382	-7.63183
-0.853096	-7.62566
-0.825841	-7.62274
-0.802804	-7.62209
-0.773277	-7.62242
-0.746022	-7.62112
-0.694757	-7.6208
-0.631486	-7.6182
-0.574705	-7.61593
-0.516302	-7.61171
-0.451409	-7.60814
-0.342389	-7.59808
-0.214874	-7.58154
-0.0815193	-7.54909
0.0281496	8.42239
0.0946648	8.42207
0.143659	8.42045
0.188435	8.42012
0.217637	8.41882
0.234509	8.4198
0.249434	8.4198
0.260466	8.41882
0.272147	8.41915
0.289992	8.4185
0.300375	8.41817
0.315301	8.41817
0.331524	8.41753
0.347098	8.41753
0.366566	8.41688
0.389278	8.4172
0.438273	8.41623
0.47948	8.4159
0.507708	8.41525
0.520038	8.41558
0.506735	8.4159
0.492134	8.41558
0.479155	8.4159
0.465203	8.41655
0.443788	8.41688
0.41848	8.41655
0.389927	8.41688
0.376949	8.41753
0.360726	8.41817
0.347098	8.41753
0.326008	8.41817
0.307189	8.4185
0.283503	8.4185
0.259493	8.41915
0.23386	8.41915
0.208876	8.42012
0.179674	8.42012
0.152095	8.42077
0.131329	8.42077
0.110564	8.42174
0.0923936	8.42174
0.074548	8.42239
0.0589738	8.42109
0.0440484	8.42174
0.0304209	8.42174
0.020038	8.42239
0.00705947	8.42239
-0.0143552	-7.49815
-0.043557	-7.53027
-0.0721098	-7.54552
-0.0948223	-7.55396
-0.107801	-7.55817
-0.117859	-7.56077
-0.107476	-7.55817
-0.0944979	-7.55396
-0.0776257	-7.54812
-0.0652961	-7.5426
-0.0532909	-7.53579
-0.0432325	-7.53027
-0.0328496	-7.52151
-0.0140307	-7.49912
-0.00364786	-7.46765
0.00186804	8.42304
0.0128998	8.42239
0.0239316	8.42239
0.0378836	8.42207
0.0482664	8.42174
0.0609205	8.42174
0.0719523	8.42109
0.0820107	8.42142
0.0920691	8.42077
0.0807129	8.42142
0.0690322	8.42142
0.057027	8.42142
0.0469686	8.42174
0.0359368	8.42174
0.0174423	8.42142
-0.00429678	-7.46408
-0.0214934	-7.50821
-0.0341475	-7.52183
-0.0471261	-7.53157
-0.0607536	-7.53935
-0.0899554	-7.55136
-0.113641	-7.55947
-0.127269	-7.56304
-0.139923	-7.56661
-0.128891	-7.56401
-0.117859	-7.5598
-0.106503	-7.5572
-0.0944979	-7.55396
-0.0844395	-7.54974
-0.0740566	-7.54649
-0.0633493	-7.54033
-0.0523175	-7.53611
-0.0412857	-7.52865
-0.0257114	-7.51534
-0.0137063	-7.49653
-0.00170107	-7.44364
0.0125754	8.42304
0.0287986	8.42239
0.0417771	8.42239
0.0609205	8.42207
0.075197	8.42109
0.0943404	8.42142
0.114457	8.42077
0.129058	8.42077
0.145281	8.42077
0.156638	8.42077
0.16702	8.42045
0.156313	8.42045
0.14301	8.4198
0.131005	8.42012
0.110564	8.42012
0.0979095	8.42045
0.0859043	8.42045
0.074548	8.42109
0.0644897	8.42045
0.0534579	8.42045
0.0433995	8.42045
0.0333411	8.42109
0.0226338	8.42239
0.0125754	8.42077
0.00186804	8.42239
-0.00170107	-7.43812
