# AI0: U_in (V)	# AI1: U_out (V)	
-0.260299	-7.58705
-0.239209	-7.58446
-0.218768	-7.58121
-0.200273	-7.57797
-0.175938	-7.57407
-0.159391	-7.56985
-0.145114	-7.56693
-0.124998	-7.56207
-0.113641	-7.55882
-0.101312	-7.5546
-0.0779502	-7.54682
-0.0597802	-7.53935
-0.0399879	-7.52703
-0.0179243	-7.50334
0.00349036	8.42239
0.0193891	8.42109
0.0362613	8.42207
0.0550802	8.42142
0.0677343	8.42142
0.0878511	8.42077
0.10083	8.42109
0.115106	8.42012
0.132303	8.4198
0.146904	8.4198
0.159233	8.42012
0.175781	8.41882
0.200116	8.41915
0.217637	8.41817
0.239376	8.41882
0.25787	8.41785
0.27312	8.41785
0.29129	8.4172
0.30946	8.41785
0.323737	8.41688
0.344502	8.4172
0.362348	8.41655
0.3763	8.41655
0.390901	8.4159
0.405826	8.41623
0.427565	8.41558
0.44898	8.41558
0.465203	8.41525
0.480777	8.41558
0.500894	8.41461
0.51874	8.41493
0.534638	8.41525
0.548266	8.41493
0.527825	8.41558
0.514522	8.41493
0.495703	8.41493
0.469421	8.4159
0.436326	8.41558
0.403879	8.41655
0.374678	8.41623
0.347098	8.4172
0.324061	8.4172
0.301673	8.4185
0.278312	8.41753
0.263386	8.4185
0.246839	8.41915
0.236131	8.41882
0.224775	8.41817
0.205307	8.41947
0.183568	8.41947
0.166047	8.42012
0.153717	8.4198
0.141712	8.42045
0.128734	8.4198
0.116404	8.42109
0.101479	8.42045
0.0865532	8.42109
0.0716279	8.42077
0.0567025	8.42142
0.0395059	8.42109
0.0213359	8.42174
0.00478822	8.42142
-0.00851482	-7.48582
-0.0224668	-7.50983
-0.0412857	-7.52735
-0.0516686	-7.53384
-0.0747055	-7.5452
-0.0990404	-7.55396
-0.124998	-7.56239
-0.154524	-7.56856
-0.172369	-7.57277
-0.18405	-7.57505
-0.194757	-7.57667
-0.215848	-7.58089
-0.234342	-7.58283
-0.246347	-7.58575
-0.257703	-7.58738
-0.232395	-7.58283
-0.219092	-7.58154
-0.205465	-7.57829
-0.178534	-7.5744
-0.149008	-7.56758
-0.122402	-7.56174
-0.0964447	-7.55331
-0.0662695	-7.5413
-0.0263604	-7.5147
0.0223093	8.42174
0.0589738	8.42174
0.0826597	8.42045
0.0998563	8.42109
0.115106	8.42012
0.128085	8.42045
0.142037	8.42077
0.157286	8.41915
0.171238	8.41915
0.189408	8.41882
0.203685	8.4185
0.214717	8.41915
0.232887	8.41915
0.255275	8.41785
0.279934	8.41817
0.305567	8.41688
0.321141	8.41753
0.340284	8.41753
0.350343	8.41655
0.362348	8.41688
0.373055	8.41688
0.383763	8.4172
0.39447	8.41525
0.381491	8.4159
0.37046	8.41623
0.33996	8.41753
0.312056	8.41688
0.275391	8.4185
0.240674	8.41882
0.211148	8.41947
0.199791	8.4198
0.179026	8.41947
0.168643	8.42045
0.148526	8.42077
0.135547	8.41947
0.116404	8.42109
0.0962872	8.42012
0.084282	8.4198
0.0677343	8.42012
0.0524845	8.42012
0.03399	8.42077
0.0223093	8.42077
-0.0208445	-7.50788
-0.0432325	-7.528
-0.05686	-7.53611
-0.0675673	-7.54195
-0.0532909	-7.53514
-0.0419346	-7.52865
-0.0276582	-7.51437
-0.0127329	-7.49458
0.029123	8.42239
0.0690322	8.42077
0.104074	8.42142
0.13068	8.4198
0.155664	8.42045
0.194275	8.41817
0.226722	8.41947
0.254626	8.41753
0.276689	8.41882
0.29778	8.41688
0.31595	8.41753
0.326332	8.41623
0.33704	8.41785
0.349045	8.41558
0.362672	8.4159
0.375651	8.4159
0.389603	8.41558
0.400959	8.41525
0.419129	8.41623
0.442815	8.41493
0.459038	8.41558
0.472017	8.41461
0.482075	8.41461
