# Zeit (s)	# Kanal 2 (V)	# D0-D7	
0.406	0.808203	0
0.408	0.804688	0
0.41	0.801563	0
0.412	0.798828	0
0.414	0.797266	0
0.416	0.796875	0
0.418	0.797656	0
0.42	0.8	0
0.422	0.803906	0
0.424	0.808594	0
0.426	0.813672	0
0.428	0.817969	0
0.43	0.821484	0
0.432	0.823828	0
0.434	0.824219	0
0.436	0.822656	0
0.438	0.819531	0
0.44	0.815234	0
0.442	0.809766	0
0.444	0.803906	0
0.446	0.797266	0
0.448	0.791406	0
0.45	0.785938	0
0.452	0.780078	0
0.454	0.774609	0
0.456	0.769141	0
0.458	0.764063	0
0.46	0.759766	0
0.462	0.756641	0
0.464	0.755078	0
0.466	0.755469	0
0.468	0.757031	0
0.47	0.759766	0
0.472	0.763281	0
0.474	0.767188	0
0.476	0.770313	0
0.478	0.773047	0
0.48	0.775	0
0.482	0.775781	0
0.484	0.775781	0
0.486	0.773828	0
0.488	0.770703	0
0.49	0.766406	0
0.492	0.760156	0
0.494	0.753906	0
0.496	0.747266	0
0.498	0.741406	0
0.5	0.735938	0
0.502	0.731641	0
0.504	0.728906	0
0.506	0.727344	0
0.508	0.726563	0
0.51	0.726953	0
0.512	0.727344	0
0.514	0.727734	0
0.516	0.727344	0
0.518	0.726563	0
0.52	0.725	0
0.522	0.723438	0
0.524	0.723438	0
0.526	0.725781	0
0.528	0.731641	0
0.53	0.742188	0
0.532	0.758594	0
0.534	0.78125	0
0.536	0.810938	0
0.538	0.847266	0
0.54	0.889063	0
0.542	0.937891	0
0.544	0.989453	0
0.546	1.04453	0
0.548	1.09961	0
0.55	1.15234	0
0.552	1.19844	0
0.554	1.23359	0
0.556	1.25352	0
0.558	1.25508	0
0.56	1.23711	0
0.562	1.19961	0
0.564	1.14336	0
0.566	1.07461	0
0.568	0.995312	0
0.57	0.912109	0
0.572	0.829297	0
0.574	0.751953	0
0.576	0.686719	0
0.578	0.637109	0
0.58	0.603906	0
0.582	0.588672	0
0.584	0.591406	0
0.586	0.609766	0
0.588	0.641797	0
0.59	0.682422	0
0.592	0.728516	0
0.594	0.776953	0
0.596	0.822656	0
0.598	0.860547	0
0.6	0.889063	0
0.602	0.907422	0
0.604	0.912891	0
0.606	0.907031	0
0.608	0.889063	0
0.61	0.863281	0
0.612	0.831641	0
0.614	0.795703	0
0.616	0.759375	0
0.618	0.726563	0
0.62	0.698047	0
0.622	0.677734	0
0.624	0.664453	0
0.626	0.659375	0
0.628	0.662109	0
0.63	0.672266	0
0.632	0.688281	0
0.634	0.709766	0
0.636	0.735547	0
0.638	0.762109	0
0.64	0.788281	0
0.642	0.811328	0
0.644	0.829297	0
0.646	0.842578	0
0.648	0.85	0
0.65	0.851563	0
0.652	0.849219	0
0.654	0.842969	0
0.656	0.833984	0
0.658	0.823828	0
0.66	0.813672	0
0.662	0.803125	0
0.664	0.79375	0
0.666	0.787109	0
0.668	0.782813	0
0.67	0.782031	0
0.672	0.784375	0
0.674	0.790234	0
0.676	0.8	0
0.678	0.8125	0
0.68	0.826953	0
0.682	0.843359	0
0.684	0.858984	0
0.686	0.873047	0
0.688	0.887891	0
0.69	0.900391	0
0.692	0.909375	0
0.694	0.914453	0
0.696	0.916406	0
0.698	0.914844	0
0.7	0.910156	0
0.702	0.902734	0
0.704	0.893359	0
0.706	0.883594	0
0.708	0.874609	0
0.71	0.868359	0
0.712	0.864063	0
0.714	0.862891	0
0.716	0.864844	0
0.718	0.869922	0
0.72	0.878516	0
0.722	0.890234	0
0.724	0.903125	0
0.726	0.915625	0
0.728	0.928516	0
0.73	0.939844	0
0.732	0.948828	0
0.734	0.955078	0
0.736	0.957422	0
0.738	0.955469	0
0.74	0.948828	0
0.742	0.939453	0
0.744	0.926953	0
0.746	0.912891	0
0.748	0.898438	0
0.75	0.883984	0
0.752	0.871484	0
0.754	0.862109	0
0.756	0.855078	0
0.758	0.850391	0
0.76	0.847656	0
0.762	0.846875	0
0.764	0.847656	0
0.766	0.848828	0
0.768	0.849609	0
0.77	0.849609	0
0.772	0.848047	0
0.774	0.844922	0
0.776	0.839844	0
0.778	0.833984	0
0.78	0.827734	0
0.782	0.821094	0
0.784	0.815234	0
0.786	0.809375	0
0.788	0.803906	0
0.79	0.799219	0
0.792	0.794141	0
0.794	0.789453	0
0.796	0.785547	0
0.798	0.780859	0
0.8	0.776953	0
0.802	0.773828	0
0.804	0.771094	0
0.806	0.769141	0
0.808	0.76875	0
0.81	0.769531	0
0.812	0.771484	0
0.814	0.774219	0
0.816	0.777734	0
0.818	0.780859	0
0.82	0.783203	0
0.822	0.784375	0
0.824	0.783594	0
0.826	0.781641	0
0.828	0.778125	0
0.83	0.773438	0
0.832	0.767188	0
0.834	0.759766	0
0.836	0.752344	0
0.838	0.745313	0
0.84	0.739453	0
0.842	0.735156	0
0.844	0.733594	0
0.846	0.733984	0
0.848	0.736719	0
0.85	0.741797	0
0.852	0.748047	0
0.854	0.755078	0
0.856	0.7625	0
0.858	0.769141	0
0.86	0.774219	0
0.862	0.776953	0
0.864	0.777734	0
0.866	0.776563	0
0.868	0.773828	0
0.87	0.769141	0
0.872	0.763672	0
0.874	0.757813	0
0.876	0.751953	0
0.878	0.747266	0
0.88	0.74375	0
0.882	0.741797	0
0.884	0.741406	0
0.886	0.742578	0
0.888	0.746094	0
0.89	0.751172	0
0.892	0.757813	0
0.894	0.766016	0
0.896	0.774219	0
0.898	0.782422	0
0.9	0.789453	0
0.902	0.795313	0
0.904	0.798828	0
0.906	0.800391	0
0.908	0.798828	0
0.91	0.794922	0
0.912	0.789453	0
0.914	0.783203	0
0.916	0.776563	0
0.918	0.770313	0
0.92	0.765234	0
0.922	0.761719	0
0.924	0.760156	0
0.926	0.760938	0
0.928	0.764453	0
0.93	0.770313	0
0.932	0.777344	0
0.934	0.786719	0
0.936	0.796875	0
0.938	0.807813	0
0.94	0.817578	0
0.942	0.826563	0
0.944	0.833594	0
0.946	0.839453	0
0.948	0.842578	0
0.95	0.842969	0
0.952	0.841406	0
0.954	0.8375	0
0.956	0.833203	0
0.958	0.828906	0
0.96	0.825	0
0.962	0.821875	0
0.964	0.819141	0
0.966	0.817969	0
0.968	0.817969	0
0.97	0.81875	0
0.972	0.820313	0
0.974	0.821484	0
0.976	0.822656	0
0.978	0.823047	0
0.98	0.821094	0
0.982	0.817969	0
0.984	0.812891	0
0.986	0.80625	0
0.988	0.799219	0
0.99	0.792578	0
0.992	0.7875	0
0.994	0.784375	0
0.996	0.782422	0
0.998	0.781641	0
