I_Baus (A)	U_BEaus (V)	I_Caus (A)	U_CEaus (V)
0.000095	0.703283	0.023827	1.017421
0.000095	0.703462	0.022844	0.914608
0.000095	0.703819	0.021861	0.813889
0.000095	0.704111	0.020860	0.713365
0.000095	0.704257	0.019859	0.614204
0.000095	0.704533	0.018842	0.515450
0.000095	0.704630	0.017824	0.417848
0.000095	0.704549	0.016779	0.322519
0.000095	0.703364	0.015542	0.245178
0.000095	0.699874	0.013996	0.199429
0.000095	0.694906	0.012286	0.169866
0.000095	0.688948	0.010514	0.147413
0.000095	0.681577	0.008705	0.127965
0.000096	0.672860	0.006890	0.109977
0.000096	0.662356	0.005078	0.091908
0.000096	0.648540	0.003271	0.072004
0.000097	0.628718	0.001526	0.047003
0.000097	0.588797	-0.000039	0.003137
0.000115	0.597856	-0.000042	0.003316
0.000114	0.635260	0.001559	0.043561
0.000114	0.655342	0.003321	0.066971
0.000113	0.669499	0.005137	0.085852
0.000113	0.680766	0.006961	0.102639
0.000113	0.689890	0.008792	0.118922
0.000113	0.697974	0.010624	0.135903
0.000113	0.704777	0.012431	0.154898
0.000113	0.710605	0.014206	0.177756
0.000112	0.715621	0.015893	0.209023
0.000112	0.718868	0.017405	0.259545
0.000112	0.720459	0.018599	0.340393
0.000112	0.721141	0.019663	0.433563
0.000112	0.721742	0.020718	0.528405
0.000112	0.722229	0.021766	0.623231
0.000112	0.722683	0.022809	0.719112
0.000112	0.723008	0.023845	0.815171
0.000112	0.723365	0.024876	0.912562
0.000112	0.723641	0.025897	1.010440
0.000112	0.723803	0.026906	1.109081
0.000112	0.724063	0.027910	1.209102
0.000112	0.724209	0.028900	1.309805
0.000112	0.724242	0.029881	1.411903
0.000112	0.724161	0.030847	1.515236
0.000112	0.724063	0.031799	1.619657
0.000112	0.723917	0.032739	1.726107
0.000112	0.723706	0.033661	1.833709
0.000112	0.723446	0.034568	1.943227
0.000112	0.723154	0.035458	2.054044
0.000112	0.722829	0.036332	2.167459
0.000112	0.722261	0.037177	2.282497
0.000112	0.721742	0.038001	2.400425
0.000112	0.721076	0.038792	2.522281
0.000112	0.720475	0.039551	2.646118
0.000112	0.719793	0.040281	2.774242
0.000112	0.718868	0.040975	2.904751
0.000112	0.718219	0.041642	3.039173
0.000112	0.717196	0.042274	3.176015
0.000112	0.716189	0.042879	3.315648
0.000112	0.715118	0.043462	3.458269
0.000113	0.713998	0.044015	3.603017
0.000113	0.712780	0.044546	3.750963
0.000113	0.711433	0.045050	3.900565
0.000113	0.710085	0.045536	4.052699
0.000113	0.708786	0.046000	4.206230
0.000113	0.707147	0.046448	4.361644
0.000113	0.705621	0.046879	4.519591
0.000113	0.704046	0.047288	4.678641
0.000113	0.702325	0.047688	4.839170
0.000113	0.700702	0.048073	5.000818
0.000113	0.698900	0.048448	5.163116
0.000113	0.695588	0.048512	5.156330
0.000113	0.695279	0.048158	4.991710
0.000113	0.695312	0.047773	4.829948
0.000113	0.695442	0.047360	4.670443
0.000113	0.695604	0.046926	4.513697
0.000113	0.696026	0.046464	4.358738
0.000113	0.696270	0.045978	4.207301
0.000113	0.696643	0.045469	4.058008
0.000113	0.697033	0.044934	3.910630
0.000113	0.697536	0.044376	3.766369
0.000113	0.697942	0.043790	3.623813
0.000113	0.698494	0.043182	3.484667
0.000113	0.698981	0.042545	3.347371
0.000113	0.699517	0.041887	3.213354
0.000113	0.700052	0.041198	3.082000
0.000113	0.700588	0.040485	2.952497
0.000113	0.701254	0.039750	2.826030
0.000113	0.701919	0.038987	2.701543
0.000113	0.702585	0.038204	2.580060
0.000113	0.703039	0.037396	2.460298
0.000113	0.703689	0.036574	2.342630
0.000113	0.704176	0.035736	2.226504
0.000113	0.704760	0.034879	2.111774
0.000113	0.705247	0.034012	1.998863
0.000113	0.705734	0.033131	1.886780
0.000113	0.706319	0.032237	1.776401
